Index,FileName,ImgLink,Brand,brandLink,Class,imgText
50,Flora_Burgundy_c1_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FFlora_Burgundy_c1_1400x.webp?v=1637344599195,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, dress, Gerbase, gerbase",A closeup of one of Gerbase's signature layering dresses
51,7N2A9854-Exposure.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F7N2A9854-Exposure.jpg?v=1637343126528,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, summer, warmWeather, warmweather, dress, AppetiteStudio, appetitestudio, appetiteStudio, apertif","Appetite Studio's target wearers are conscious, fashionable, and fun."
52,L2110644-Exposure.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FL2110644-Exposure.jpg?v=1637343159001,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, warmWeather, warmweather, summer, dress, AppetiteStudio, appetitestudio, appetiteStudio, apertif","Appetite Studio's target wearers are conscious, fashionable, and fun."
53,L2110571-Exposure.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FL2110571-Exposure.jpg?v=1637343136945,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, warmWeather, warmweather, summer, dress, AppetiteStudio, appetitestudio, appetiteStudio, apertif","Appetite Studio's target wearers are conscious, fashionable, and fun."
54,L2110047-Exposure.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FL2110047-Exposure.jpg?v=1637343130254,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, warmWeather, warmweather, summer, shirt, AppetiteStudio, appetitestudio, appetiteStudio, apertif","Appetite Studio's tops are fun, flirty, and perfect for the summer."
55,7N2A9289.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F7N2A9289.jpg?v=1637343118477,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, warmWeather, warmweather, summer, tankTop, AppetiteStudio, appetitestudio, appetiteStudio, apertif","Appetite Studio's tops are fun, flirty, and perfect for the summer."
56,7N2A9025.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F7N2A9025.jpg?v=1637342233985,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, warmWeather, warmweather, shirt, summer, AppetiteStudio, appetitestudio, appetiteStudio, apertif","Appetite Studio's tops are fun, flirty, and perfect for the summer."
57,7N2A9437.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F7N2A9437.jpg?v=1637343121860,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, warmWeather, warmweather, summer, dress, AppetiteStudio, appetitestudio, appetiteStudio, apertif","Appetite Studio's dresses are fun, flirty, and perfect for the summer."
58,NAPKIN-TRIPLE+SEC.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FNAPKIN-TRIPLE%2BSEC.jpg?v=1637343159025,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, warmWeather, warmweather, summer, AppetiteStudio, appetitestudio, appetiteStudio, apertif",Hand painted hankerchief from Appetite Studio
59,THE+BELLINI+.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FTHE%2BBELLINI%2B.jpg?v=1637343159174,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, warmWeather, warmweather, summer, AppetiteStudio, appetitestudio, appetiteStudio, apertif","Some of Appetite Studio's pieces are made to order, allowing you to choose a fabric for most styles."
60,Scan+53.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FScan%2B53.jpg?v=1637343159057,Appetite Studio,https://www.appetitestudio.co.uk/shop,"timeless, warmWeather, warmweather, summer, AppetiteStudio, appetitestudio, appetiteStudio, apertif","Some of Appetite Studio's pieces are made to order, allowing you to choose a fabric for most styles."
61,web_womens_8a28f90c-38d1-476d-b4bd-2104ac34a635_800x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fweb_womens_8a28f90c-38d1-476d-b4bd-2104ac34a635_800x.webp?v=1637345392083,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, sweater, pringleOfScotland, pringleofscotland, PringleOfScotland","Comfy knitwear perfect for the winter, courtesy of Pringle of Scotland"
62,argyle_01.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fargyle_01.webp?v=1637345362359,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, sweater, pringleOfScotland, pringleofscotland, PringleOfScotland",Pringle of Scotland's knitwear
63,argyle_06.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fargyle_06.webp?v=1637345370434,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, sweater, pringleOfScotland, pringleofscotland, PringleOfScotland",Pringle of Scotland's knitwear
64,argyle_05.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fargyle_05.webp?v=1637345367096,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, sweater, pringleOfScotland, pringleofscotland, PringleOfScotland",Pringle of Scotland's knitwear
65,MTG036_MW_1474_c415bff5-8186-416b-8ca6-e7f9bb1f50da_600x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FMTG036_MW_1474_c415bff5-8186-416b-8ca6-e7f9bb1f50da_600x.webp?v=1637345381663,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, sweater, pringleOfScotland, pringleofscotland, PringleOfScotland",You can layer Pringle of Scotland's knitwear!
66,MTG034-120012_600x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FMTG034-120012_600x.webp?v=1637345377384,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, hat, pringleOfScotland, pringleofscotland, PringleOfScotland",A cardigan from Pringle of Scotland
67,WTH040-2277_18_e7ba6b32-11a7-495b-bcd6-16c9306c2857_600x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FWTH040-2277_18_e7ba6b32-11a7-495b-bcd6-16c9306c2857_600x.webp?v=1637345400133,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, sweater, pringleOfScotland, pringleofscotland, PringleOfScotland",A cardigan from Pringle of Scotland
68,WPB025-2401_17_600x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FWPB025-2401_17_600x.webp?v=1637345396258,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, pants, pringleOfScotland, pringleofscotland, PringleOfScotland",Knit top and bottoms combo from Pringle of Scotland
69,WTK077-2401_26_600x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FWTK077-2401_26_600x.webp?v=1637345403723,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, sweater, pringleOfScotland, pringleofscotland, PringleOfScotland",Knit hoodie from Pringle of Scotland
70,L1030264_edit_ASF032_AGK024_AHF021_c3013d97-87c4-420f-bc5d-3352bcef7feb_600x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FL1030264_edit_ASF032_AGK024_AHF021_c3013d97-87c4-420f-bc5d-3352bcef7feb_600x.webp?v=1637345373829,Pringle of Scotland,https://pringlescotland.com/pages/our-story,"knitwear, winter, coldWeather, coldweather, hat, beanie, pringleOfScotland, pringleofscotland, PringleOfScotland","A hat, scarf, and gloves from Pringle of Scotland"
71,Copy+of+IMG_7789.png,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FCopy%2Bof%2BIMG_7789.png?v=1638044101378,Helen Kirkum,https://www.helenkirkum.com/,"recycled, secondHand, shoes, helenkirkum, HelenKirkum, helenKirkum","The heart of our studio lies in our made to order sneakers, handmade for you in London."
72,Copy+of+Copy+of+Helen+Kirkum_FA1019_Ecom_1288_1x1+(1).jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FCopy%2Bof%2BCopy%2Bof%2BHelen%2BKirkum_FA1019_Ecom_1288_1x1%2B(1).jpg?v=1638044091206,Helen Kirkum,https://www.helenkirkum.com/,"recycled, secondHand, shoes, helenkirkum, HelenKirkum, helenKirkum","The heart of our studio lies in our made to order sneakers, handmade for you in London."
